,code,station,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y,07-10 totavg,10-17 totavg,17-22 totavg,commute,Total,com,coms,many75,trans
0,30000,가능,19677,9021,9545,7692,7008,14585,37.748577,127.044213,14349.0,8618.5,10796.5,25145.5,33764.0,0.7447429214548039,0,0,0
1,30001,가락시장,14913,20191,12542,11831,15680,15024,37.492522,127.118234,17552.0,12186.5,15352.0,32904.0,45090.5,0.7297324270079063,0,0,1
2,30002,가산디지털단지,16328,159990,24042,26365,100601,20738,37.481072,126.882343,88159.0,25203.5,60669.5,148828.5,174032.0,0.8551789326100947,1,1,1
3,30003,가양,60359,28602,27315,21860,24845,45483,37.561391,126.854456,44480.5,24587.5,35164.0,79644.5,104232.0,0.7641079514928237,1,1,0
4,30004,가오리,13832,3586,6063,5343,3245,9549,37.641701,127.016792,8709.0,5703.0,6397.0,15106.0,20809.0,0.7259358931231679,0,0,1
5,30005,가좌,17062,5970,7312,6762,5741,10947,37.568491,126.915487,11516.0,7037.0,8344.0,19860.0,26897.0,0.7383723091794624,0,0,1
6,30006,가천대,18370,15919,12426,11571,11343,17417,37.448605,127.126697,17144.5,11998.5,14380.0,31524.5,43523.0,0.7243181765962824,0,0,1
7,30007,가평,2844,4023,4192,4297,3317,2498,37.814536,127.510739,3433.5,4244.5,2907.5,6341.0,10585.5,0.5990269708563601,0,0,1
8,30008,간석,18714,5884,8286,6961,6291,14356,37.464737,126.694181,12299.0,7623.5,10323.5,22622.5,30246.0,0.7479501421675594,0,0,1
9,30009,강남,51394,263928,108271,128623,236847,120329,37.497175,127.027926,157661.0,118447.0,178588.0,336249.0,454696.0,0.7395028766472544,0,1,1
10,30010,강남구청,7995,54433,13764,17482,35614,12527,37.517186,127.04128,31214.0,15623.0,24070.5,55284.5,70907.5,0.7796706977400134,1,0,0
11,30011,강동,57206,31524,25132,20149,27324,36747,37.535804,127.132481,44365.0,22640.5,32035.5,76400.5,99041.0,0.7714027523954726,1,1,0
12,30012,강동구청,30565,20042,13233,11892,14014,22287,37.530341,127.120508,25303.5,12562.5,18150.5,43454.0,56016.5,0.7757357207251435,1,0,1
13,30013,강매,13049,1881,3333,2342,1898,7307,37.612314,126.843223,7465.0,2837.5,4602.5,12067.5,14905.0,0.8096276417309628,1,0,0
14,30014,강변(동서울터미널),92780,40415,56556,51909,53167,81623,37.535095,127.094681,66597.5,54232.5,67395.0,133992.5,188225.0,0.7118740868641253,0,1,1
15,30015,강촌,451,1201,1411,1202,923,477,37.805723,127.634146,826.0,1306.5,700.0,1526.0,2832.5,0.5387466902030009,0,0,1
16,30016,개롱,19537,10467,9004,7781,8088,15048,37.498079,127.13482,15002.0,8392.5,11568.0,26570.0,34962.5,0.7599570968895245,1,0,1
17,30017,개봉,75229,19610,30002,25464,21672,60424,37.494594,126.85868,47419.5,27733.0,41048.0,88467.5,116200.5,0.7613349340149139,1,1,1
18,30018,개포동,7114,6880,5266,4377,5613,6468,37.489116,127.06614,6997.0,4821.5,6040.5,13037.5,17859.0,0.7300240774959404,0,0,1
19,30019,개화,13587,4111,4071,2798,4288,6002,37.578608,126.798153,8849.0,3434.5,5145.0,13994.0,17428.5,0.8029377169578564,1,0,0
20,30020,개화산,16423,8677,7174,6128,7204,11222,37.572399,126.806171,12550.0,6651.0,9213.0,21763.0,28414.0,0.7659252481171254,1,0,1
21,30021,거여,25849,10688,10481,8427,8696,16766,37.493105,127.14415,18268.5,9454.0,12731.0,30999.5,40453.5,0.7662995785284339,1,0,0
22,30022,건대입구,41940,35739,31919,39804,52712,62413,37.540693,127.07023,38839.5,35861.5,57562.5,96402.0,132263.5,0.7288632162312354,0,1,0
